Company,Growth Margin,Operating Margin,ROE,Forward P/E,PEG,Revenue TTM Growth,FCF Margin,Debt/Equity,Current Ratio,R&D Intensity,Investment Ratio,Growth,Profitability,Valuation,Safety,Stability Score (Rev- Var),Moat Score (G.Margin- Var),R&D Score,Investment Score,Score
"CALB Group Co., Ltd.",16.252,5.235,2.4519999,23.001717,0.4935,59.67199427754637,0.0,1.473668041015535,0.7728470263547358,4.01466048785657,694.0639300895672,1.0,0.0,0.8333073181818182,0.0,0.1217721061610757,0.0,0.0,1.0,55.0
"Fluence Energy, Inc.",12.697,0.721,-4.5939997,30.030771,0.0,34.74511641249748,-23.248302620644427,0.9582015984918406,1.644416865066312,3.437679942813448,23.812511765074984,0.8498604689284994,0.0,0.45361299999999993,0.1820034170206577,0.7809301258381194,0.09667948809927573,0.0,0.3946431932878567,40.9
Wärtsilä Oyj Abp,44.491002,11.459999999999999,23.834999,29.106384,2.8398,10.48696077209755,17.70698386526911,0.24108930716860233,1.220767494356659,0.0,13.228385981490977,0.15677030777421572,0.2586082072105759,0.2808623636363637,0.4346472200048636,0.4683307806297191,0.3209913883471482,0.0,0.09223959947117076,25.2
Exide Industries Limited,32.391998,8.294,0.0,22.73523,0.0,7.238638729693102,0.0,0.1449464835540785,1.2251014817094843,0.0,129.29553264604812,0.06396110656266006,0.0,0.67469,0.48380212865033184,0.6613424495583364,0.8514773280810002,0.0,1.0,27.0
AMARAJABAT.NS,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,35.0
Albemarle Corporation,8.164,4.1490003,-8.1070006,57.413044,4.5479,0.29077850546291373,-1.523018250298798,0.3630215869770752,2.3106082519909896,1.3154878975668045,134.7580432315167,0.0,0.0,0.0,0.6461412695092098,0.0,0.0,0.0,1.0,6.5
Sociedad Química y Minera de Chile S.A.,26.697,17.669001,9.335,11.444723,0.0,-8.621201369764162,-3.515256238921327,0.8846598737863842,2.9167650377548324,0.0,,0.0,0.022241675000000013,1.0,0.536861322545516,0.0,0.5072163201066282,0.0,0.5,36.0
ALTM,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,35.0
Rio Tinto Group,27.718999999999998,25.051000000000002,17.158002,10.343108,0.0,-5.456505364521725,0.0,0.4061646306891397,1.5255113181454254,0.4439660022991243,46.74142480211082,0.0,0.14340835000000002,1.0,0.42829551419178646,0.26015085594416343,0.7589664787984007,0.0,1.0,38.6
Freeport-McMoRan Inc.,39.101002,28.055000000000003,14.538999,19.152777,2.9816,11.225332792966604,6.785616500867025,0.508073374340949,2.4653769661905622,0.0,72.22023360989725,0.17786665122761727,0.1614967958405586,0.39622459090909096,0.6123075543771661,0.0,0.5878095506247201,0.0,1.0,28.2
